GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Plugin,org.revapi.maven,Props.expandProperties,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.useBuildConfiguration,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,MavenArchive.Empty,10,0,0,0,3,0,2,0,2,0
Maven Plugin,org.revapi.maven,AbstractVersionModifyingMojo,865,0,66,0,189,0,47,0,13,0
Maven Plugin,org.revapi.maven,MavenArchive,108,0,12,0,23,0,14,0,8,0
Maven Plugin,org.revapi.maven,Props.disallowedExtensionsInVersioning,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.convertPomXml,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.checkDependencies,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ReportAggregateMojo,643,0,72,0,144,0,57,0,21,0
Maven Plugin,org.revapi.maven,XmlSuggestionsBuilder,61,0,0,0,16,0,10,0,10,0
Maven Plugin,org.revapi.maven,Props.analysisConfiguration,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.failCriticality,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,AbstractSuggestionsBuilder,1,168,4,18,1,36,4,9,0,2
Maven Plugin,org.revapi.maven,Props.resolveProvidedDependencies,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.failBuildOnProblemsFound,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.versionFormat,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ConfigurationFile,4,20,0,0,2,8,1,6,1,6
Maven Plugin,org.revapi.maven,HelpMojo,889,0,108,0,157,0,70,0,16,0
Maven Plugin,org.revapi.maven,Props.failOnMissingConfigurationFiles,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.forceVersionUpdate,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Analyzer.MarkerException,9,0,0,0,4,0,2,0,2,0
Maven Plugin,org.revapi.maven,Props.disallowedExtensions,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.oldArtifacts,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,FailSeverity,62,0,5,0,8,0,6,0,2,0
Maven Plugin,org.revapi.maven,Props.failSeverity,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Analyzer,871,0,68,0,164,0,52,0,18,0
Maven Plugin,org.revapi.maven,Props.oldVersion,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ConvertToXmlConfigMojo.SilentReporter,5,0,0,0,2,0,2,0,2,0
Maven Plugin,org.revapi.maven,ReportForkMojo,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,PropertyValueInterpolator.new AbstractValueSource() {...},22,0,2,0,4,0,3,0,2,0
Maven Plugin,org.revapi.maven,PropertyValueInterpolator.new AbstractValueSource() {...},20,0,2,0,4,0,3,0,2,0
Maven Plugin,org.revapi.maven,AnalysisConfigurationGatherer.PropertyExpressionResolver,0,11,0,0,0,4,0,2,0,2
Maven Plugin,org.revapi.maven,Props.ignoreSuggestionsFormat,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.skip,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,UpdateReleasePropertiesMojo,152,0,4,0,33,0,8,0,6,0
Maven Plugin,org.revapi.maven,BuildTimeReporter.SuggestionBuilderContext,0,15,0,0,0,3,0,3,0,3
Maven Plugin,org.revapi.maven,Props.convertAnalysisConfigurationFiles,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,SchemaDrivenJSONToXmlConverter.ConversionContext,2,53,2,4,1,13,2,4,0,3
Maven Plugin,org.revapi.maven,Props.newVersion,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ReportTimeReporter.DifferenceReport,12,0,0,0,5,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.ignoreSuggestionsFile,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ApiChangeLevel,34,0,0,0,2,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.alwaysCheckForReleaseVersion,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.reportSeverity,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.newArtifacts,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.failOnUnresolvedDependencies,3,0,0,0,1,0,1,0,1,0
